,School District,School DBN,School Name,Category,Grade 9 Seats Available,Grade 9 Applicants,Grade 9 Offers,Grade 9 Seats Available - Notes
3905,2,02M047,47 The American Sign Language and English Secondary School,Residential District 01,,28,6,
3906,2,02M047,47 The American Sign Language and English Secondary School,Residential District 02,,13,s,
3907,2,02M047,47 The American Sign Language and English Secondary School,Residential District 03,,7,s,
3908,2,02M047,47 The American Sign Language and English Secondary School,Residential District 04,,30,s,
3909,2,02M047,47 The American Sign Language and English Secondary School,Residential District 05,,21,s,
3910,2,02M047,47 The American Sign Language and English Secondary School,Residential District 06,,13,s,
3911,2,02M047,47 The American Sign Language and English Secondary School,Residential District 07,,26,10,
3912,2,02M047,47 The American Sign Language and English Secondary School,Residential District 08,,14,s,
3913,2,02M047,47 The American Sign Language and English Secondary School,Residential District 09,,45,13,
3914,2,02M047,47 The American Sign Language and English Secondary School,Residential District 10,,38,14,
3915,2,02M047,47 The American Sign Language and English Secondary School,Residential District 11,,16,7,
3916,2,02M047,47 The American Sign Language and English Secondary School,Residential District 12,,20,8,
3917,2,02M047,47 The American Sign Language and English Secondary School,Residential District 13,,s,s,
3918,2,02M047,47 The American Sign Language and English Secondary School,Residential District 14,,11,s^,
3919,2,02M047,47 The American Sign Language and English Secondary School,Residential District 15,,s,s,
3920,2,02M047,47 The American Sign Language and English Secondary School,Residential District 16,,s,s,
3921,2,02M047,47 The American Sign Language and English Secondary School,Residential District 17,,s,s,
3922,2,02M047,47 The American Sign Language and English Secondary School,Residential District 18,,s,s,
3923,2,02M047,47 The American Sign Language and English Secondary School,Residential District 19,,13,s,
3924,2,02M047,47 The American Sign Language and English Secondary School,Residential District 20,,s,s,
3925,2,02M047,47 The American Sign Language and English Secondary School,Residential District 21,,s,s,
3926,2,02M047,47 The American Sign Language and English Secondary School,Residential District 22,,s,s,
3927,2,02M047,47 The American Sign Language and English Secondary School,Residential District 23,,9,s,
3928,2,02M047,47 The American Sign Language and English Secondary School,Residential District 24,,13,s,
3929,2,02M047,47 The American Sign Language and English Secondary School,Residential District 25,,s,s,
3930,2,02M047,47 The American Sign Language and English Secondary School,Residential District 27,,8,s,
3931,2,02M047,47 The American Sign Language and English Secondary School,Residential District 28,,s,s,
3932,2,02M047,47 The American Sign Language and English Secondary School,Residential District 29,,s,s,
3933,2,02M047,47 The American Sign Language and English Secondary School,Residential District 30,,18,s,
3934,2,02M047,47 The American Sign Language and English Secondary School,Residential District 31,,s,s,
3935,2,02M047,47 The American Sign Language and English Secondary School,Residential District 32,,10,s^,
3936,2,02M047,47 The American Sign Language and English Secondary School,Residential District Unknown,,s,s,
34574,6,06M540,A. Philip Randolph Campus High School,Residential District 01,,20,7,
34575,6,06M540,A. Philip Randolph Campus High School,Residential District 02,,26,9,
34576,6,06M540,A. Philip Randolph Campus High School,Residential District 03,,74,17,
34577,6,06M540,A. Philip Randolph Campus High School,Residential District 04,,93,18,
34578,6,06M540,A. Philip Randolph Campus High School,Residential District 05,,242,60,
34579,6,06M540,A. Philip Randolph Campus High School,Residential District 06,,324,95,
34580,6,06M540,A. Philip Randolph Campus High School,Residential District 07,,129,30,
34581,6,06M540,A. Philip Randolph Campus High School,Residential District 08,,107,37,
34582,6,06M540,A. Philip Randolph Campus High School,Residential District 09,,379,102,
34583,6,06M540,A. Philip Randolph Campus High School,Residential District 10,,258,72,
34584,6,06M540,A. Philip Randolph Campus High School,Residential District 11,,132,39,
34585,6,06M540,A. Philip Randolph Campus High School,Residential District 12,,98,26,
34586,6,06M540,A. Philip Randolph Campus High School,Residential District 13,,6,s,
34587,6,06M540,A. Philip Randolph Campus High School,Residential District 14,,6,s,
34588,6,06M540,A. Philip Randolph Campus High School,Residential District 15,,s,s,
34589,6,06M540,A. Philip Randolph Campus High School,Residential District 16,,6,s,
34590,6,06M540,A. Philip Randolph Campus High School,Residential District 17,,12,s,
34591,6,06M540,A. Philip Randolph Campus High School,Residential District 18,,11,s,
34592,6,06M540,A. Philip Randolph Campus High School,Residential District 19,,37,7,
34593,6,06M540,A. Philip Randolph Campus High School,Residential District 20,,7,s,
34594,6,06M540,A. Philip Randolph Campus High School,Residential District 21,,s,s,
34595,6,06M540,A. Philip Randolph Campus High School,Residential District 22,,12,s,
34596,6,06M540,A. Philip Randolph Campus High School,Residential District 23,,10,s,
34597,6,06M540,A. Philip Randolph Campus High School,Residential District 24,,28,11,
34598,6,06M540,A. Philip Randolph Campus High School,Residential District 25,,s,s,
34599,6,06M540,A. Philip Randolph Campus High School,Residential District 26,,s,s,
34600,6,06M540,A. Philip Randolph Campus High School,Residential District 27,,19,6,
34601,6,06M540,A. Philip Randolph Campus High School,Residential District 28,,9,s,
34602,6,06M540,A. Philip Randolph Campus High School,Residential District 29,,8,s,
34603,6,06M540,A. Philip Randolph Campus High School,Residential District 30,,30,s,
34604,6,06M540,A. Philip Randolph Campus High School,Residential District 31,,s,s,
34605,6,06M540,A. Philip Randolph Campus High School,Residential District 32,,18,6,
34606,6,06M540,A. Philip Randolph Campus High School,Residential District Unknown,,s,s,
59117,13,13K499,ACORN Community High School,Residential District 01,,s,s,
59118,13,13K499,ACORN Community High School,Residential District 02,,s,s,
59119,13,13K499,ACORN Community High School,Residential District 03,,s,s,
59120,13,13K499,ACORN Community High School,Residential District 09,,s,s,
59121,13,13K499,ACORN Community High School,Residential District 12,,s,s,
59122,13,13K499,ACORN Community High School,Residential District 13,,60,12,
59123,13,13K499,ACORN Community High School,Residential District 14,,10,s,
59124,13,13K499,ACORN Community High School,Residential District 15,,10,s,
59125,13,13K499,ACORN Community High School,Residential District 16,,28,s,
59126,13,13K499,ACORN Community High School,Residential District 17,,86,14,
59127,13,13K499,ACORN Community High School,Residential District 18,,28,s,
59128,13,13K499,ACORN Community High School,Residential District 19,,64,8,
59129,13,13K499,ACORN Community High School,Residential District 20,,s,s,
