Residential District,Total Applicants,# Matches to Choice 1-3,# Matches to Choice 1-5,# Matches to Choice 1-10,# Matches to Choice 1-12,# Matches to Any Choice (Incl. SHS & LGA),% Matches to Choice 1-3,% Matches to Choice 1-5,% Matches to Choice 1-10,% Matches to Choice 1-12,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 01,656,230,319,448,467,# Matches to Any Choice (Incl. SHS & LGA),35%,49%,68%,71%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 02,2708,478,730,1243,1357,# Matches to Any Choice (Incl. SHS & LGA),18%,27%,46%,50%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 03,1214,376,585,859,918,# Matches to Any Choice (Incl. SHS & LGA),31%,48%,71%,76%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 04,873,549,693,832,845,# Matches to Any Choice (Incl. SHS & LGA),63%,79%,95%,97%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 05,1104,829,996,1087,1089,# Matches to Any Choice (Incl. SHS & LGA),75%,90%,98%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 06,1789,1385,1643,1772,1774,# Matches to Any Choice (Incl. SHS & LGA),77%,92%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 07,1437,1122,1340,1424,1428,# Matches to Any Choice (Incl. SHS & LGA),78%,93%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 08,2444,2059,2313,2432,2434,# Matches to Any Choice (Incl. SHS & LGA),84%,95%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 09,3216,2855,3133,3210,3210,# Matches to Any Choice (Incl. SHS & LGA),89%,97%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 10,4398,4183,4371,4393,4393,# Matches to Any Choice (Incl. SHS & LGA),95%,99%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 11,3472,3325,3439,3468,3468,# Matches to Any Choice (Incl. SHS & LGA),96%,99%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 12,1905,1860,1888,1903,1903,# Matches to Any Choice (Incl. SHS & LGA),98%,99%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 13,1072,779,963,1057,1061,# Matches to Any Choice (Incl. SHS & LGA),73%,90%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 14,994,855,944,987,987,# Matches to Any Choice (Incl. SHS & LGA),86%,95%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 15,2376,2086,2293,2363,2364,# Matches to Any Choice (Incl. SHS & LGA),88%,97%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 16,744,683,732,744,744,# Matches to Any Choice (Incl. SHS & LGA),92%,98%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 17,1816,1702,1797,1816,1816,# Matches to Any Choice (Incl. SHS & LGA),94%,99%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 18,1508,1445,1497,1508,1508,# Matches to Any Choice (Incl. SHS & LGA),96%,99%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 19,2445,2391,2440,2445,2445,# Matches to Any Choice (Incl. SHS & LGA),98%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 20,3927,3686,3873,3901,3901,# Matches to Any Choice (Incl. SHS & LGA),94%,99%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 21,2417,2369,2410,2412,2412,# Matches to Any Choice (Incl. SHS & LGA),98%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 22,3304,3266,3292,3299,3299,# Matches to Any Choice (Incl. SHS & LGA),99%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 23,1040,1037,1040,1040,1040,# Matches to Any Choice (Incl. SHS & LGA),100%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 24,5173,4497,4942,5149,5149,# Matches to Any Choice (Incl. SHS & LGA),87%,96%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 25,2787,2590,2738,2765,2765,# Matches to Any Choice (Incl. SHS & LGA),93%,98%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 27,4013,3989,4005,4011,4011,# Matches to Any Choice (Incl. SHS & LGA),99%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 28,2774,2757,2767,2769,2769,# Matches to Any Choice (Incl. SHS & LGA),99%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 29,2974,2968,2973,2974,2974,# Matches to Any Choice (Incl. SHS & LGA),100%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 30,3216,3164,3184,3209,3210,# Matches to Any Choice (Incl. SHS & LGA),98%,99%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 31,4992,4872,4889,4891,4891,# Matches to Any Choice (Incl. SHS & LGA),98%,98%,98%,98%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 32,996,985,994,996,996,# Matches to Any Choice (Incl. SHS & LGA),99%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 26,2079,2027,2060,2065,2066,# Matches to Any Choice (Incl. SHS & LGA),97%,99%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Total,75863,67399,71283,73472,73694,# Matches to Any Choice (Incl. SHS & LGA),89%,94%,97%,97%,% Matches to Any Choice (Incl. SHS & LGA)
