district,school,num_applications
Residential District 01,02M047,15
Residential District 01,15K960,3
Residential District 01,08X636,3
Residential District 01,14K610,6
Residential District 01,06M540,8
Residential District 01,30Q301,12
Residential District 01,17K382,4
Residential District 01,18K637,3
Residential District 01,32K403,4
Residential District 01,17K751,6
Residential District 01,11X270,3
Residential District 01,02M546,87
Residential District 01,19K404,4
Residential District 01,30Q575,3
Residential District 01,24Q264,4
Residential District 01,17K408,3
Residential District 01,27Q309,3
Residential District 01,07X600,3
Residential District 01,32K554,2
Residential District 01,02M630,41
Residential District 01,11X299,3
Residential District 01,27Q400,3
Residential District 01,24Q610,8
Residential District 01,30Q580,4
Residential District 01,01M696,146
Residential District 01,24Q299,14
Residential District 01,02M411,162
Residential District 01,03M479,111
Residential District 01,13K595,3
Residential District 01,13K670,7
Residential District 01,16K455,2
Residential District 01,10X264,2
Residential District 01,11X290,2
Residential District 01,11X545,2
Residential District 01,08X561,2
Residential District 01,07X522,3
Residential District 01,10X213,2
Residential District 01,12X511,2
Residential District 01,10X439,2
Residential District 01,09X413,3
Residential District 01,09X412,2
Residential District 01,09X403,2
Residential District 01,12X267,2
Residential District 01,09X525,2
Residential District 01,07X625,3
Residential District 01,08X349,2
Residential District 01,11X508,2
Residential District 01,13K553,2
Residential District 01,15K448,2
Residential District 01,22K555,2
Residential District 01,23K493,3
Residential District 01,13K412,3
Residential District 01,16K498,4
Residential District 01,15K656,6
Residential District 01,13K439,2
Residential District 01,14K488,8
Residential District 01,17K548,3
Residential District 01,21K690,3
Residential District 01,32K556,2
Residential District 01,02M393,19
Residential District 01,07X548,3
Residential District 01,04M555,35
Residential District 01,02M615,52
Residential District 01,06M293,4
Residential District 01,13K674,8
Residential District 01,15K519,3
Residential District 01,11X288,3
Residential District 01,05M362,33
Residential District 01,06M346,2
Residential District 01,18K629,3
Residential District 01,10X440,3
Residential District 01,13K963,3
Residential District 01,15K429,3
Residential District 01,09X329,2
Residential District 01,23K644,3
Residential District 01,19K409,2
Residential District 01,01M450,205
Residential District 01,14K477,2
Residential District 01,25Q281,2
Residential District 01,02M416,89
Residential District 01,02M394,13
Residential District 01,30Q258,3
Residential District 01,04M372,2
Residential District 01,02M294,183
Residential District 01,02M303,3
