Residential District,Total Applicants,# Matches to Choice 1-3,# Matches to Choice 1-5,# Matches to Choice 1-10,# Matches to Choice 1-12,# Matches to Any Choice (Incl. SHS & LGA),% Matches to Choice 1-3,% Matches to Choice 1-5,% Matches to Choice 1-10,% Matches to Choice 1-12,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 01,555,64,105,165,167,# Matches to Any Choice (Incl. SHS & LGA),12%,19%,30%,30%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 02,2412,312,455,678,693,# Matches to Any Choice (Incl. SHS & LGA),13%,19%,28%,29%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 03,1204,215,345,518,526,# Matches to Any Choice (Incl. SHS & LGA),18%,29%,43%,44%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 04,830,432,585,712,712,# Matches to Any Choice (Incl. SHS & LGA),52%,70%,86%,86%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 05,1037,706,893,995,995,# Matches to Any Choice (Incl. SHS & LGA),68%,86%,96%,96%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 06,1612,1294,1515,1579,1579,# Matches to Any Choice (Incl. SHS & LGA),80%,94%,98%,98%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 07,1357,1019,1208,1315,1316,# Matches to Any Choice (Incl. SHS & LGA),75%,89%,97%,97%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 08,2438,2137,2359,2407,2407,# Matches to Any Choice (Incl. SHS & LGA),88%,97%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 09,2705,2559,2685,2701,2701,# Matches to Any Choice (Incl. SHS & LGA),95%,99%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 10,3740,3666,3731,3734,3734,# Matches to Any Choice (Incl. SHS & LGA),98%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 11,3249,3205,3228,3241,3241,# Matches to Any Choice (Incl. SHS & LGA),99%,99%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 12,1801,1781,1790,1796,1796,# Matches to Any Choice (Incl. SHS & LGA),99%,99%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 13,997,606,784,913,914,# Matches to Any Choice (Incl. SHS & LGA),61%,79%,92%,92%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 14,946,807,897,924,924,# Matches to Any Choice (Incl. SHS & LGA),85%,95%,98%,98%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 15,2350,1948,2209,2303,2303,# Matches to Any Choice (Incl. SHS & LGA),83%,94%,98%,98%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 16,757,699,745,755,755,# Matches to Any Choice (Incl. SHS & LGA),92%,98%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 17,1683,1582,1667,1676,1676,# Matches to Any Choice (Incl. SHS & LGA),94%,99%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 18,1328,1273,1321,1327,1327,# Matches to Any Choice (Incl. SHS & LGA),96%,99%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 19,2281,2245,2273,2279,2279,# Matches to Any Choice (Incl. SHS & LGA),98%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 20,3799,3706,3756,3759,3759,# Matches to Any Choice (Incl. SHS & LGA),98%,99%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 21,2557,2552,2553,2553,2553,# Matches to Any Choice (Incl. SHS & LGA),100%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 22,3101,3092,3096,3098,3098,# Matches to Any Choice (Incl. SHS & LGA),100%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 23,1013,1007,1011,1012,1012,# Matches to Any Choice (Incl. SHS & LGA),99%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 24,4939,4272,4722,4874,4875,# Matches to Any Choice (Incl. SHS & LGA),86%,96%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 25,2528,2367,2454,2460,2460,# Matches to Any Choice (Incl. SHS & LGA),94%,97%,97%,97%,% Matches to Any Choice (Incl. SHS & LGA)
