Residential District,Total Applicants,# Matches to Choice 1-3,# Matches to Choice 1-5,# Matches to Choice 1-10,# Matches to Choice 1-12,# Matches to Any Choice (Incl. SHS & LGA),% Matches to Choice 1-3,% Matches to Choice 1-5,% Matches to Choice 1-10,% Matches to Choice 1-12,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 01,555,176,266,373,375,# Matches to Any Choice (Incl. SHS & LGA),32%,48%,67%,68%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 02,2412,785,1151,1677,1691,# Matches to Any Choice (Incl. SHS & LGA),33%,48%,70%,70%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 03,1204,615,828,1059,1065,# Matches to Any Choice (Incl. SHS & LGA),51%,69%,88%,88%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 04,830,664,781,813,813,# Matches to Any Choice (Incl. SHS & LGA),80%,94%,98%,98%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 05,1037,907,1008,1035,1035,# Matches to Any Choice (Incl. SHS & LGA),87%,97%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 06,1612,1473,1585,1609,1609,# Matches to Any Choice (Incl. SHS & LGA),91%,98%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 07,1357,1211,1310,1350,1351,# Matches to Any Choice (Incl. SHS & LGA),89%,97%,99%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 08,2438,2307,2423,2433,2433,# Matches to Any Choice (Incl. SHS & LGA),95%,99%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 09,2705,2638,2701,2705,2705,# Matches to Any Choice (Incl. SHS & LGA),98%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 10,3740,3699,3737,3739,3739,# Matches to Any Choice (Incl. SHS & LGA),99%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 11,3249,3234,3246,3249,3249,# Matches to Any Choice (Incl. SHS & LGA),100%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 12,1801,1797,1799,1801,1801,# Matches to Any Choice (Incl. SHS & LGA),100%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 13,997,788,934,984,984,# Matches to Any Choice (Incl. SHS & LGA),79%,94%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 14,946,873,922,938,938,# Matches to Any Choice (Incl. SHS & LGA),92%,97%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 15,2350,2044,2272,2332,2332,# Matches to Any Choice (Incl. SHS & LGA),87%,97%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 16,757,735,756,757,757,# Matches to Any Choice (Incl. SHS & LGA),97%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 17,1683,1623,1677,1682,1682,# Matches to Any Choice (Incl. SHS & LGA),96%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 18,1328,1293,1325,1328,1328,# Matches to Any Choice (Incl. SHS & LGA),97%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 19,2281,2257,2276,2280,2280,# Matches to Any Choice (Incl. SHS & LGA),99%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 20,3799,3714,3761,3763,3763,# Matches to Any Choice (Incl. SHS & LGA),98%,99%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 21,2557,2554,2554,2554,2554,# Matches to Any Choice (Incl. SHS & LGA),100%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 22,3101,3095,3098,3100,3100,# Matches to Any Choice (Incl. SHS & LGA),100%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 23,1013,1013,1013,1013,1013,# Matches to Any Choice (Incl. SHS & LGA),100%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 24,4939,4341,4769,4896,4897,# Matches to Any Choice (Incl. SHS & LGA),88%,97%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 25,2528,2372,2462,2466,2466,# Matches to Any Choice (Incl. SHS & LGA),94%,97%,98%,98%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 27,3874,3850,3865,3868,3868,# Matches to Any Choice (Incl. SHS & LGA),99%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 28,2630,2595,2610,2618,2618,# Matches to Any Choice (Incl. SHS & LGA),99%,99%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 29,2627,2612,2621,2624,2624,# Matches to Any Choice (Incl. SHS & LGA),99%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 30,2964,2855,2906,2950,2950,# Matches to Any Choice (Incl. SHS & LGA),96%,98%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 31,4838,4680,4690,4690,4690,# Matches to Any Choice (Incl. SHS & LGA),97%,97%,97%,97%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 32,894,889,892,893,893,# Matches to Any Choice (Incl. SHS & LGA),99%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District Unknown,357,345,349,350,350,# Matches to Any Choice (Incl. SHS & LGA),97%,98%,98%,98%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 26,1847,1785,1794,1796,1796,# Matches to Any Choice (Incl. SHS & LGA),97%,97%,97%,97%,% Matches to Any Choice (Incl. SHS & LGA)
Total,71250,65819,68381,69725,69749,# Matches to Any Choice (Incl. SHS & LGA),92%,96%,98%,98%,% Matches to Any Choice (Incl. SHS & LGA)
