Residential District,Total Applicants,# Matches to Choice 1-3,# Matches to Choice 1-5,# Matches to Choice 1-10,# Matches to Choice 1-12,# Matches to Any Choice (Incl. SHS & LGA),% Matches to Choice 1-3,% Matches to Choice 1-5,% Matches to Choice 1-10,% Matches to Choice 1-12,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 01,598,103,140,214,218,# Matches to Any Choice (Incl. SHS & LGA),17%,23%,36%,36%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 02,2592,344,457,608,618,# Matches to Any Choice (Incl. SHS & LGA),13%,18%,23%,24%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 03,1243,152,195,265,268,# Matches to Any Choice (Incl. SHS & LGA),12%,16%,21%,22%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 04,853,115,165,242,245,# Matches to Any Choice (Incl. SHS & LGA),13%,19%,28%,29%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 05,1063,234,323,468,477,# Matches to Any Choice (Incl. SHS & LGA),22%,30%,44%,45%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 06,1694,563,808,1118,1131,# Matches to Any Choice (Incl. SHS & LGA),33%,48%,66%,67%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 07,1444,542,780,1045,1050,# Matches to Any Choice (Incl. SHS & LGA),38%,54%,72%,73%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 08,2400,1168,1591,1976,1981,# Matches to Any Choice (Incl. SHS & LGA),49%,66%,82%,83%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 09,3023,1933,2471,2870,2885,# Matches to Any Choice (Incl. SHS & LGA),64%,82%,95%,95%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 10,4102,3300,3791,4003,4005,# Matches to Any Choice (Incl. SHS & LGA),80%,92%,98%,98%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 11,3497,3179,3362,3435,3436,# Matches to Any Choice (Incl. SHS & LGA),91%,96%,98%,98%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 12,1891,1728,1794,1837,1837,# Matches to Any Choice (Incl. SHS & LGA),91%,95%,97%,97%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 13,1056,324,471,621,629,# Matches to Any Choice (Incl. SHS & LGA),31%,45%,59%,60%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 14,1004,449,595,716,717,# Matches to Any Choice (Incl. SHS & LGA),45%,59%,71%,71%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 15,2489,654,982,1297,1305,# Matches to Any Choice (Incl. SHS & LGA),26%,39%,52%,52%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 16,753,481,598,678,679,# Matches to Any Choice (Incl. SHS & LGA),64%,79%,90%,90%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 17,1800,1108,1443,1650,1653,# Matches to Any Choice (Incl. SHS & LGA),62%,80%,92%,92%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 18,1565,1092,1366,1482,1483,# Matches to Any Choice (Incl. SHS & LGA),70%,87%,95%,95%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 19,2402,2112,2309,2372,2372,# Matches to Any Choice (Incl. SHS & LGA),88%,96%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 20,3853,2284,2764,2895,2895,# Matches to Any Choice (Incl. SHS & LGA),59%,72%,75%,75%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 21,2387,2168,2260,2272,2272,# Matches to Any Choice (Incl. SHS & LGA),91%,95%,95%,95%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 22,3185,2940,3004,3029,3029,# Matches to Any Choice (Incl. SHS & LGA),92%,94%,95%,95%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 23,1015,990,1002,1008,1008,# Matches to Any Choice (Incl. SHS & LGA),98%,99%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 24,4947,2971,3800,4412,4418,# Matches to Any Choice (Incl. SHS & LGA),60%,77%,89%,89%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 25,2802,1529,1939,2044,2044,# Matches to Any Choice (Incl. SHS & LGA),55%,69%,73%,73%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 26,2125,1287,1513,1547,1547,# Matches to Any Choice (Incl. SHS & LGA),61%,71%,73%,73%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 27,3950,3672,3787,3840,3841,# Matches to Any Choice (Incl. SHS & LGA),93%,96%,97%,97%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 28,2779,2535,2609,2636,2636,# Matches to Any Choice (Incl. SHS & LGA),91%,94%,95%,95%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 29,2816,2657,2725,2762,2762,# Matches to Any Choice (Incl. SHS & LGA),94%,97%,98%,98%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 30,3131,2722,2832,2930,2933,# Matches to Any Choice (Incl. SHS & LGA),87%,90%,94%,94%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 31,4783,3961,4060,4066,4066,# Matches to Any Choice (Incl. SHS & LGA),83%,85%,85%,85%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 32,1024,949,967,979,979,# Matches to Any Choice (Incl. SHS & LGA),93%,94%,96%,96%,% Matches to Any Choice (Incl. SHS & LGA)
Total,74266,50246,56903,61317,61419,# Matches to Any Choice (Incl. SHS & LGA),68%,77%,83%,83%,% Matches to Any Choice (Incl. SHS & LGA)
