,School District,School DBN,School Name,Category,Grade 9 Seats Available,Grade 9 Applicants,Grade 9 Offers,Grade 9 Seats Available - Notes,max_offers_and_seats
3820,2,02M047,47 The American Sign Language and English Secondary School,All Students,69,397,84,,84
63560,14,14K610,A-Tech High School,All Students,204,859,172,,204
34465,6,06M540,A. Philip Randolph Campus High School,All Students,465,1982,518,,518
83389,21,21K410,Abraham Lincoln High School,All Students,421,1875,599, Guaranteed offer to students who live in the zoned area,599
113936,30,30Q301,Academy for Careers in Television and Film,All Students,129,2268,156,,156
70781,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,All Students,81,471,73, Guaranteed offer to continuing 8th grade students who apply,81
74881,18,18K637,Academy for Conservation and the Environment,All Students,120,777,201,,201
120474,32,32K403,Academy for Excellence in Leadership,All Students,108,542,74,,108
72711,17,17K751,Academy for Health Careers,All Students,108,775,101,,108
42960,9,09X365,Academy for Language and Technology,All Students,92,852,101,,101
51794,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,All Students,81,581,116,,116
18373,2,02M546,Academy for Software Engineering,All Students,108,3044,131,,131
75972,19,19K404,Academy for Young Writers,All Students,92,737,146, Guaranteed offer to continuing 8th grade students who apply,146
115048,30,30Q575,Academy of American Studies,All Students,272,2736,361,,361
90563,24,24Q264,Academy of Finance and Enterprise,All Students,124,2348,160,,160
71016,17,17K408,Academy of Hospitality and Tourism,All Students,108,599,92,,108
77003,19,19K618,Academy of Innovative Technology,All Students,108,1032,148,,148
102279,27,27Q309,Academy of Medical Technology: A College Board School,All Students,105,732,175, Guaranteed offer to continuing 8th grade students who apply,175
37207,7,07X600,Alfred E. Smith Career and Technical Education High School,All Students,152,1005,216,,216
120871,32,32K554,All City Leadership Secondary School,All Students,62,1400,66, Guaranteed offer to continuing 8th grade students who apply,66
39429,8,08X376,Antonia Pantoja Preparatory Academy: A College Board School,All Students,81,242,51, Guaranteed offer to continuing 8th grade students who apply,81
39216,8,08X367,Archimedes Academy for Math Science and Technology Applications,All Students,96,580,132, Guaranteed offer to continuing 8th grade students who apply,132
19614,2,02M630,Art and Design High School,All Students,385,2875,471,,471
52303,11,11X299,Astor Collegiate Academy,All Students,118,1100,164,,164
103108,27,27Q400,August Martin High School,All Students,136,745,179,,179
92943,24,24Q610,Aviation Career & Technical Education High School,All Students,480,4134,635,,635
115264,30,30Q580,Baccalaureate School for Global Education,All Students,102,3586,209, Guaranteed offer to continuing 8th grade students who apply,209
2375,1,01M696,Bard High School Early College,All Students,150,3971,279,,279
91140,24,24Q299,Bard High School Early College Queens,All Students,155,4825,267,,267
12077,2,02M411,Baruch College Campus High School,All Students,111,6152,173,,173
99868,26,26Q495,Bayside High School,All Students,666,7117,1055, Guaranteed offer to students who live in the zoned area,1055
24650,3,03M479,Beacon High School,All Students,390,6901,605,,605
59431,13,13K595,Bedford Academy High School,All Students,81,3111,115,,115
47809,10,10X434,Belmont Preparatory High School,All Students,108,2077,158,,158
59766,13,13K670,Benjamin Banneker Academy,All Students,180,2909,299,,299
110576,29,29Q313,Benjamin Franklin High School for Finance & Information Technology,All Students,108,755,140,,140
99333,26,26Q415,Benjamin N. Cardozo High School,All Students,508,5205,995, Guaranteed offer to students who live in the zoned area,995
69080,16,16K455,Boys and Girls High School,All Students,223,766,177, Guaranteed offer to students who live in the zoned area,223
46412,10,10X264,Bronx Academy for Software Engineering (BASE),All Students,108,1226,166,,166
52208,11,11X290,Bronx Academy of Health Careers,All Students,108,817,205,,205
53625,11,11X545,Bronx Aerospace High School,All Students,189,378,31,,189
39637,8,08X432,Bronx Bridges High School,All Students,81,415,87,,87
56103,12,12X479,Bronx Career and College Preparatory High School,All Students,81,452,66,,81
