,School District,School DBN,School Name,Category,Grade 9 Seats Available,Grade 9 Applicants,Grade 9 Offers,Grade 9 Seats Available - Notes
3840,2,02M047,47 The American Sign Language and English Secondary School,Residential District 01,,14,s,
3841,2,02M047,47 The American Sign Language and English Secondary School,Residential District 02,,17,s,
3842,2,02M047,47 The American Sign Language and English Secondary School,Residential District 03,,8,s,
3843,2,02M047,47 The American Sign Language and English Secondary School,Residential District 04,,15,s,
3844,2,02M047,47 The American Sign Language and English Secondary School,Residential District 05,,23,6,
3845,2,02M047,47 The American Sign Language and English Secondary School,Residential District 06,,25,6,
3846,2,02M047,47 The American Sign Language and English Secondary School,Residential District 07,,16,s,
3847,2,02M047,47 The American Sign Language and English Secondary School,Residential District 08,,15,s,
3848,2,02M047,47 The American Sign Language and English Secondary School,Residential District 09,,39,7,
3849,2,02M047,47 The American Sign Language and English Secondary School,Residential District 10,,33,s,
3850,2,02M047,47 The American Sign Language and English Secondary School,Residential District 11,,20,s,
3851,2,02M047,47 The American Sign Language and English Secondary School,Residential District 12,,17,s,
3852,2,02M047,47 The American Sign Language and English Secondary School,Residential District 13,,s,s,
3853,2,02M047,47 The American Sign Language and English Secondary School,Residential District 14,,15,s,
3854,2,02M047,47 The American Sign Language and English Secondary School,Residential District 15,,s,s,
3855,2,02M047,47 The American Sign Language and English Secondary School,Residential District 16,,6,s,
3856,2,02M047,47 The American Sign Language and English Secondary School,Residential District 17,,8,s,
3857,2,02M047,47 The American Sign Language and English Secondary School,Residential District 18,,s,s,
3858,2,02M047,47 The American Sign Language and English Secondary School,Residential District 19,,12,s,
3859,2,02M047,47 The American Sign Language and English Secondary School,Residential District 20,,s,s,
3860,2,02M047,47 The American Sign Language and English Secondary School,Residential District 21,,s,s,
3861,2,02M047,47 The American Sign Language and English Secondary School,Residential District 22,,6,s,
3862,2,02M047,47 The American Sign Language and English Secondary School,Residential District 23,,6,s,
3863,2,02M047,47 The American Sign Language and English Secondary School,Residential District 24,,31,10,
3864,2,02M047,47 The American Sign Language and English Secondary School,Residential District 25,,s,s,
3865,2,02M047,47 The American Sign Language and English Secondary School,Residential District 26,,s,s,
3866,2,02M047,47 The American Sign Language and English Secondary School,Residential District 27,,13,s,
3867,2,02M047,47 The American Sign Language and English Secondary School,Residential District 28,,s,s,
3868,2,02M047,47 The American Sign Language and English Secondary School,Residential District 29,,s,s,
3869,2,02M047,47 The American Sign Language and English Secondary School,Residential District 30,,11,s,
3870,2,02M047,47 The American Sign Language and English Secondary School,Residential District 31,,6,s,
3871,2,02M047,47 The American Sign Language and English Secondary School,Residential District 32,,13,s,
3872,2,02M047,47 The American Sign Language and English Secondary School,Residential District Unknown,,s,s,
63580,14,14K610,A-Tech High School,Residential District 01,,s,s,
63581,14,14K610,A-Tech High School,Residential District 02,,8,s,
63582,14,14K610,A-Tech High School,Residential District 03,,6,s,
63583,14,14K610,A-Tech High School,Residential District 04,,9,s,
63584,14,14K610,A-Tech High School,Residential District 05,,s,s,
63585,14,14K610,A-Tech High School,Residential District 06,,s,s,
63586,14,14K610,A-Tech High School,Residential District 07,,8,s,
63587,14,14K610,A-Tech High School,Residential District 08,,s,s,
63588,14,14K610,A-Tech High School,Residential District 09,,s,s,
63589,14,14K610,A-Tech High School,Residential District 10,,9,s,
63590,14,14K610,A-Tech High School,Residential District 11,,16,s,
63591,14,14K610,A-Tech High School,Residential District 12,,8,s,
63592,14,14K610,A-Tech High School,Residential District 13,,36,6,
63593,14,14K610,A-Tech High School,Residential District 14,,58,18,
63594,14,14K610,A-Tech High School,Residential District 15,,11,s,
63595,14,14K610,A-Tech High School,Residential District 16,,36,s,
63596,14,14K610,A-Tech High School,Residential District 17,,57,14,
63597,14,14K610,A-Tech High School,Residential District 18,,43,7,
63598,14,14K610,A-Tech High School,Residential District 19,,126,20,
63599,14,14K610,A-Tech High School,Residential District 20,,15,s,
63600,14,14K610,A-Tech High School,Residential District 21,,13,s,
63601,14,14K610,A-Tech High School,Residential District 22,,42,8,
63602,14,14K610,A-Tech High School,Residential District 23,,37,6,
63603,14,14K610,A-Tech High School,Residential District 24,,93,26,
63604,14,14K610,A-Tech High School,Residential District 25,,6,s,
63605,14,14K610,A-Tech High School,Residential District 26,,s,s,
63606,14,14K610,A-Tech High School,Residential District 27,,38,s,
63607,14,14K610,A-Tech High School,Residential District 28,,8,s,
63608,14,14K610,A-Tech High School,Residential District 29,,18,s,
63609,14,14K610,A-Tech High School,Residential District 30,,43,7,
63610,14,14K610,A-Tech High School,Residential District 31,,7,s,
63611,14,14K610,A-Tech High School,Residential District 32,,86,24,
63612,14,14K610,A-Tech High School,Residential District Unknown,,s,s,
34502,6,06M540,A. Philip Randolph Campus High School,Residential District 01,,16,s,
