district,school,num_applications
Residential District 01,02M047,14
Residential District 01,14K610,4
Residential District 01,06M540,16
Residential District 01,21K410,3
Residential District 01,30Q301,9
Residential District 01,17K382,3
Residential District 01,18K637,3
Residential District 01,32K403,2
Residential District 01,17K751,4
Residential District 01,09X365,3
Residential District 01,11X270,3
Residential District 01,02M546,84
Residential District 01,19K404,3
Residential District 01,30Q575,4
Residential District 01,24Q264,3
Residential District 01,17K408,3
Residential District 01,19K618,3
Residential District 01,07X600,2
Residential District 01,32K554,3
Residential District 01,08X367,4
Residential District 01,02M630,54
Residential District 01,11X299,2
Residential District 01,27Q400,3
Residential District 01,24Q610,6
Residential District 01,30Q580,16
Residential District 01,01M696,149
Residential District 01,24Q299,21
Residential District 01,02M411,188
Residential District 01,03M479,136
Residential District 01,13K595,8
Residential District 01,13K670,10
Residential District 01,10X264,3
Residential District 01,11X545,2
Residential District 01,09X260,4
Residential District 01,11X249,3
Residential District 01,09X413,3
Residential District 01,11X253,2
Residential District 01,11X418,3
Residential District 01,11X265,2
Residential District 01,12X267,3
Residential District 01,09X525,2
Residential District 01,07X527,2
Residential District 01,09X505,3
Residential District 01,08X269,2
Residential District 01,17K547,2
Residential District 01,15K448,2
Residential District 01,22K555,3
Residential District 01,13K412,4
Residential District 01,16K498,4
Residential District 01,15K656,11
Residential District 01,13K439,3
Residential District 01,19K639,2
Residential District 01,14K488,7
Residential District 01,17K548,3
Residential District 01,21K690,2
Residential District 01,18K567,2
Residential District 01,02M393,44
Residential District 01,26Q315,3
Residential District 01,31R047,2
Residential District 01,07X548,3
Residential District 01,04M555,82
Residential District 01,02M615,63
Residential District 01,06M293,16
Residential District 01,13K674,6
Residential District 01,17K600,3
Residential District 01,15K519,3
Residential District 01,11X288,3
Residential District 01,05M362,68
Residential District 01,06M346,3
Residential District 01,07X427,2
Residential District 01,09X327,2
Residential District 01,18K629,3
Residential District 01,31R450,3
Residential District 01,10X440,3
Residential District 01,15K429,4
Residential District 01,13K265,3
Residential District 01,09X329,3
Residential District 01,32K545,2
Residential District 01,05M148,2
Residential District 01,12X271,2
Residential District 01,19K409,2
Residential District 01,01M450,295
Residential District 01,14K477,7
Residential District 01,25Q281,2
Residential District 01,21K525,3
Residential District 01,14K685,3
Residential District 01,02M416,126
Residential District 01,30Q258,3
Residential District 01,04M372,7
Residential District 01,02M294,209
Residential District 01,09X250,3
Residential District 01,12X251,3
Residential District 01,02M303,2
Residential District 01,12X682,2
Residential District 01,02M288,34
Residential District 01,10X437,3
Residential District 01,10X438,2
Residential District 01,28Q440,3
Residential District 01,20K490,2
Residential District 01,26Q430,3
Residential District 01,03M417,21
Residential District 01,30Q501,21
Residential District 01,20K505,2
Residential District 01,05M499,13
Residential District 01,03M860,2
Residential District 01,29Q272,3
Residential District 01,13K605,3
Residential District 01,02M374,44
Residential District 01,06M552,3
Residential District 01,24Q485,3
Residential District 01,07X259,2
Residential District 01,02M534,147
Residential District 01,08X405,3
Residential District 01,04M680,10
Residential District 01,27Q650,4
Residential District 01,02M545,95
Residential District 01,02M400,34
Residential District 01,06M468,3
Residential District 01,02M420,113
Residential District 01,03M492,8
Residential District 01,06M467,4
Residential District 01,06M463,3
Residential District 01,18K633,4
Residential District 01,17K546,3
Residential District 01,17K537,2
Residential District 01,03M494,19
Residential District 01,11X275,2
Residential District 01,02M489,52
Residential District 01,02M296,14
Residential District 01,20K485,2
Residential District 01,02M437,28
Residential District 01,02M605,53
Residential District 01,02M407,77
Residential District 01,02M438,17
Residential District 01,24Q236,2
Residential District 01,06M211,9
Residential District 01,18K563,3
Residential District 01,02M529,3
Residential District 01,25Q425,2
Residential District 01,21K540,3
Residential District 01,15K462,3
Residential District 01,14K071,3
Residential District 01,10X268,2
Residential District 01,02M419,41
Residential District 01,02M425,14
Residential District 01,22K535,3
Residential District 01,21K559,2
Residential District 01,02M655,6
Residential District 01,30Q450,3
Residential District 01,08X530,2
Residential District 01,02M308,126
Residential District 01,14K586,2
Residential District 01,03M541,119
Residential District 01,02M427,14
Residential District 01,02M542,7
Residential District 01,02M392,59
Residential District 01,04M435,43
Residential District 01,02M280,80
Residential District 01,02M459,4
Residential District 01,02M439,161
Residential District 01,10X477,3
Residential District 01,26Q435,2
Residential District 01,24Q585,3
Residential District 01,29Q492,2
Residential District 01,17K590,3
Residential District 01,12X248,2
Residential District 01,24Q520,3
Residential District 01,22K405,7
Residential District 01,15K684,9
Residential District 01,02M418,245
Residential District 01,09X297,2
Residential District 01,09X252,3
Residential District 01,05M304,3
Residential District 01,12X242,3
Residential District 01,02M432,10
Residential District 01,02M520,36
Residential District 01,02M412,101
Residential District 01,02M414,104
Residential District 01,02M376,159
Residential District 01,16K765,2
Residential District 01,02M543,116
Residential District 01,01M539,245
Residential District 01,20K445,4
Residential District 01,01M292,170
Residential District 01,14K474,3
Residential District 01,02M298,170
Residential District 01,04M495,36
Residential District 01,17K122,3
Residential District 01,08X320,2
Residential District 01,11X542,2
Residential District 01,19K507,3
Residential District 01,31R445,3
Residential District 01,02M408,18
Residential District 01,24Q600,3
Residential District 01,02M422,46
Residential District 01,31R600,3
Residential District 01,08X293,3
Residential District 01,02M531,9
Residential District 01,02M580,12
Residential District 01,10X141,2
Residential District 01,27Q323,2
Residential District 01,17K531,2
Residential District 01,02M413,122
Residential District 01,13K419,13
Residential District 01,17K543,3
Residential District 01,07X221,2
Residential District 01,03M859,11
Residential District 01,19K422,2
Residential District 01,02M139,18
Residential District 01,15K667,2
Residential District 01,31R460,3
Residential District 01,02M519,19
Residential District 01,16K688,2
Residential District 01,32K168,3
Residential District 01,32K549,2
Residential District 01,02M260,127
Residential District 01,06M462,2
Residential District 01,31R028,1
Residential District 01,03M403,7
Residential District 01,02M399,16
Residential District 01,14K478,4
Residential District 01,17K528,2
Residential District 01,02M600,37
Residential District 01,10X237,3
Residential District 01,31R080,1
Residential District 01,07X551,2
Residential District 01,19K764,3
Residential District 01,02M135,22
Residential District 01,03M402,2
Residential District 01,13K483,4
Residential District 01,10X225,3
Residential District 01,28Q620,3
Residential District 01,05M670,2
Residential District 01,25Q525,27
Residential District 01,19K615,3
Residential District 01,02M533,42
Residential District 01,02M500,10
Residential District 01,07X495,3
Residential District 01,01M448,155
Residential District 01,02M305,48
Residential District 01,02M507,26
Residential District 01,13K527,3
Residential District 01,02M282,52
Residential District 01,02M551,31
Residential District 01,09X241,2
Residential District 01,20K609,3
Residential District 01,03M307,2
Residential District 01,05M369,3
Residential District 01,02M316,3
Residential District 01,02M300,4
Residential District 01,13K350,6
Residential District 01,09X263,2
Residential District 01,02M449,13
Residential District 01,19K660,3
Residential District 01,03M415,4
Residential District 01,06M348,2
Residential District 01,10X243,2
Residential District 01,03M291,9
Residential District 01,30Q445,3
Residential District 01,21K620,3
Residential District 01,14K558,3
Residential District 01,14K561,3
Residential District 01,19K510,3
Residential District 01,25Q285,2
Residential District 01,28Q284,2
Residential District 01,04M610,10
Residential District 01,28Q896,2
Residential District 01,14K614,2
Residential District 01,09X568,2
Residential District 02,02M047,17
Residential District 02,14K610,8
Residential District 02,06M540,24
Residential District 02,30Q301,69
Residential District 02,17K382,3
Residential District 02,18K637,3
Residential District 02,17K751,4
Residential District 02,02M546,277
Residential District 02,19K404,3
Residential District 02,30Q575,17
Residential District 02,24Q264,6
Residential District 02,17K408,3
Residential District 02,19K618,3
