Residential District,Total Applicants,# Matches to Choice 1-3,# Matches to Choice 1-5,# Matches to Choice 1-10,# Matches to Choice 1-12,# Matches to Any Choice (Incl. SHS & LGA),% Matches to Choice 1-3,% Matches to Choice 1-5,% Matches to Choice 1-10,% Matches to Choice 1-12,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 01,598,173,243,383,395,# Matches to Any Choice (Incl. SHS & LGA),29%,41%,64%,66%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 02,2592,415,684,1124,1161,# Matches to Any Choice (Incl. SHS & LGA),16%,26%,43%,45%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 03,1243,407,589,840,856,# Matches to Any Choice (Incl. SHS & LGA),33%,47%,68%,69%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 04,853,517,680,805,808,# Matches to Any Choice (Incl. SHS & LGA),61%,80%,94%,95%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 05,1063,829,984,1053,1053,# Matches to Any Choice (Incl. SHS & LGA),78%,93%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 06,1694,1388,1597,1673,1673,# Matches to Any Choice (Incl. SHS & LGA),82%,94%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 07,1444,1211,1395,1437,1437,# Matches to Any Choice (Incl. SHS & LGA),84%,97%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 08,2400,2089,2309,2386,2387,# Matches to Any Choice (Incl. SHS & LGA),87%,96%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 09,3023,2805,2980,3022,3022,# Matches to Any Choice (Incl. SHS & LGA),93%,99%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 10,4102,4002,4086,4099,4099,# Matches to Any Choice (Incl. SHS & LGA),98%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 11,3497,3418,3472,3487,3488,# Matches to Any Choice (Incl. SHS & LGA),98%,99%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 12,1891,1848,1878,1887,1887,# Matches to Any Choice (Incl. SHS & LGA),98%,99%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 13,1056,812,969,1035,1035,# Matches to Any Choice (Incl. SHS & LGA),77%,92%,98%,98%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 14,1004,895,977,992,992,# Matches to Any Choice (Incl. SHS & LGA),89%,97%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 15,2489,2182,2412,2475,2475,# Matches to Any Choice (Incl. SHS & LGA),88%,97%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
