Residential District,Total Applicants,# Matches to Choice 1-3,# Matches to Choice 1-5,# Matches to Choice 1-10,# Matches to Choice 1-12,# Matches to Any Choice (Incl. SHS & LGA),% Matches to Choice 1-3,% Matches to Choice 1-5,% Matches to Choice 1-10,% Matches to Choice 1-12,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 01,598,113,170,268,279,# Matches to Any Choice (Incl. SHS & LGA),19%,28%,45%,47%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 02,2592,261,421,718,741,# Matches to Any Choice (Incl. SHS & LGA),10%,16%,28%,29%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 03,1243,239,368,563,570,# Matches to Any Choice (Incl. SHS & LGA),19%,30%,45%,46%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 04,853,359,508,684,691,# Matches to Any Choice (Incl. SHS & LGA),42%,60%,80%,81%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 05,1063,656,818,970,972,# Matches to Any Choice (Incl. SHS & LGA),62%,77%,91%,91%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 06,1694,1196,1472,1625,1626,# Matches to Any Choice (Incl. SHS & LGA),71%,87%,96%,96%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 07,1444,1019,1263,1393,1394,# Matches to Any Choice (Incl. SHS & LGA),71%,87%,96%,97%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 08,2400,1944,2235,2368,2370,# Matches to Any Choice (Incl. SHS & LGA),81%,93%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 09,3023,2727,2952,3018,3019,# Matches to Any Choice (Incl. SHS & LGA),90%,98%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 10,4102,3965,4066,4090,4090,# Matches to Any Choice (Incl. SHS & LGA),97%,99%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 11,3497,3385,3433,3467,3468,# Matches to Any Choice (Incl. SHS & LGA),97%,98%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 12,1891,1819,1856,1871,1871,# Matches to Any Choice (Incl. SHS & LGA),96%,98%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 13,1056,699,888,1000,1000,# Matches to Any Choice (Incl. SHS & LGA),66%,84%,95%,95%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 14,1004,837,950,980,980,# Matches to Any Choice (Incl. SHS & LGA),83%,95%,98%,98%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 15,2489,2124,2374,2459,2459,# Matches to Any Choice (Incl. SHS & LGA),85%,95%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 16,753,718,748,751,751,# Matches to Any Choice (Incl. SHS & LGA),95%,99%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 17,1800,1691,1775,1793,1794,# Matches to Any Choice (Incl. SHS & LGA),94%,99%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 18,1565,1533,1555,1560,1560,# Matches to Any Choice (Incl. SHS & LGA),98%,99%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 19,2402,2368,2389,2397,2397,# Matches to Any Choice (Incl. SHS & LGA),99%,99%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 20,3853,3783,3802,3803,3803,# Matches to Any Choice (Incl. SHS & LGA),98%,99%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 21,2387,2374,2379,2380,2380,# Matches to Any Choice (Incl. SHS & LGA),99%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 22,3185,3157,3169,3174,3174,# Matches to Any Choice (Incl. SHS & LGA),99%,99%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 23,1015,1007,1011,1014,1014,# Matches to Any Choice (Incl. SHS & LGA),99%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 24,4947,4089,4643,4842,4843,# Matches to Any Choice (Incl. SHS & LGA),83%,94%,98%,98%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 25,2802,2595,2713,2719,2719,# Matches to Any Choice (Incl. SHS & LGA),93%,97%,97%,97%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 26,2125,2087,2093,2093,2093,# Matches to Any Choice (Incl. SHS & LGA),98%,98%,98%,98%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 27,3950,3928,3937,3942,3942,# Matches to Any Choice (Incl. SHS & LGA),99%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 28,2779,2747,2758,2763,2763,# Matches to Any Choice (Incl. SHS & LGA),99%,99%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 29,2816,2811,2815,2816,2816,# Matches to Any Choice (Incl. SHS & LGA),100%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 30,3131,3067,3090,3112,3113,# Matches to Any Choice (Incl. SHS & LGA),98%,99%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 31,4783,4729,4730,4730,4730,# Matches to Any Choice (Incl. SHS & LGA),99%,99%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 32,1024,1011,1016,1017,1017,# Matches to Any Choice (Incl. SHS & LGA),99%,99%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Total,74266,65038,68397,70380,70439,# Matches to Any Choice (Incl. SHS & LGA),88%,92%,95%,95%,% Matches to Any Choice (Incl. SHS & LGA)
