Residential District,Total Applicants,# Matches to Choice 1-3,# Matches to Choice 1-5,# Matches to Choice 1-10,# Matches to Choice 1-12,# Matches to Any Choice (Incl. SHS & LGA),% Matches to Choice 1-3,% Matches to Choice 1-5,% Matches to Choice 1-10,% Matches to Choice 1-12,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 01,592,115,159,227,227,# Matches to Any Choice (Incl. SHS & LGA),19%,27%,38%,38%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 02,2342,344,478,694,708,# Matches to Any Choice (Incl. SHS & LGA),15%,20%,30%,30%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 03,1175,197,282,395,397,# Matches to Any Choice (Incl. SHS & LGA),17%,24%,34%,34%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 04,870,228,324,443,444,# Matches to Any Choice (Incl. SHS & LGA),26%,37%,51%,51%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 05,1023,479,667,831,831,# Matches to Any Choice (Incl. SHS & LGA),47%,65%,81%,81%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 06,1660,854,1132,1352,1353,# Matches to Any Choice (Incl. SHS & LGA),51%,68%,81%,82%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 07,1348,663,889,1086,1088,# Matches to Any Choice (Incl. SHS & LGA),49%,66%,81%,81%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 08,2282,1378,1751,1982,1985,# Matches to Any Choice (Incl. SHS & LGA),60%,77%,87%,87%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 09,2847,2154,2565,2746,2749,# Matches to Any Choice (Incl. SHS & LGA),76%,90%,96%,97%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 10,3825,3402,3695,3767,3767,# Matches to Any Choice (Incl. SHS & LGA),89%,97%,98%,98%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 11,3277,3099,3202,3234,3234,# Matches to Any Choice (Incl. SHS & LGA),95%,98%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 12,1786,1749,1767,1778,1778,# Matches to Any Choice (Incl. SHS & LGA),98%,99%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 13,1021,385,527,715,720,# Matches to Any Choice (Incl. SHS & LGA),38%,52%,70%,71%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 14,973,607,790,872,872,# Matches to Any Choice (Incl. SHS & LGA),62%,81%,90%,90%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 15,2296,853,1218,1618,1625,# Matches to Any Choice (Incl. SHS & LGA),37%,53%,70%,71%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 16,739,552,668,724,724,# Matches to Any Choice (Incl. SHS & LGA),75%,90%,98%,98%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 17,1658,1259,1494,1612,1612,# Matches to Any Choice (Incl. SHS & LGA),76%,90%,97%,97%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 18,1390,1146,1315,1372,1373,# Matches to Any Choice (Incl. SHS & LGA),82%,95%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 19,2298,2113,2247,2284,2284,# Matches to Any Choice (Incl. SHS & LGA),92%,98%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 20,3747,2186,2750,2858,2858,# Matches to Any Choice (Incl. SHS & LGA),58%,73%,76%,76%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 21,2361,2171,2290,2302,2302,# Matches to Any Choice (Incl. SHS & LGA),92%,97%,98%,98%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 22,3064,3004,3032,3037,3037,# Matches to Any Choice (Incl. SHS & LGA),98%,99%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 23,1018,1007,1012,1017,1017,# Matches to Any Choice (Incl. SHS & LGA),99%,99%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 24,5038,3280,4098,4586,4587,# Matches to Any Choice (Incl. SHS & LGA),65%,81%,91%,91%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 25,2614,1556,1959,2042,2042,# Matches to Any Choice (Incl. SHS & LGA),60%,75%,78%,78%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 27,3736,3578,3665,3681,3681,# Matches to Any Choice (Incl. SHS & LGA),96%,98%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 28,2805,2654,2709,2718,2718,# Matches to Any Choice (Incl. SHS & LGA),95%,97%,97%,97%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 29,2691,2589,2643,2666,2666,# Matches to Any Choice (Incl. SHS & LGA),96%,98%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 30,3110,2731,2828,2926,2927,# Matches to Any Choice (Incl. SHS & LGA),88%,91%,94%,94%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 31,4675,4073,4156,4159,4159,# Matches to Any Choice (Incl. SHS & LGA),87%,89%,89%,89%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 32,960,925,938,947,947,# Matches to Any Choice (Incl. SHS & LGA),96%,98%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District Unknown,203,181,190,193,194,# Matches to Any Choice (Incl. SHS & LGA),89%,94%,95%,96%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 26,1925,1412,1561,1571,1571,# Matches to Any Choice (Incl. SHS & LGA),73%,81%,82%,82%,% Matches to Any Choice (Incl. SHS & LGA)
Total,71349,52924,59001,62435,62477,# Matches to Any Choice (Incl. SHS & LGA),74%,83%,88%,88%,% Matches to Any Choice (Incl. SHS & LGA)
