,School District,School DBN,School Name,Category,Grade 9 Seats Available,Grade 9 Applicants,Grade 9 Offers,Grade 9 Seats Available - Notes,max_offers_and_seats
32441,2,02M047,47 The American Sign Language and English Secondar,All Students,69,311,126,,126
108494,14,14K610,A-Tech High School,All Students,204,932,189,,204
32776,6,06M540,A. Philip Randolph Campus High School,All Students,462,1507,316,,462
109465,21,21K410,Abraham Lincoln High School,All Students,640,2019,640, Guaranteed offer to students who live in the zoned area,640
111921,30,30Q301,Academy for Careers in Television and Film,All Students,129,1389,158,,158
108790,17,17K382,Academy for College Preparation and Career Explora,All Students,81,415,85, Guaranteed offer to continuing 8th grade students who apply,85
108944,18,18K637,Academy for Conservation and the Environment,All Students,120,618,204,,204
113993,32,32K403,Academy for Excellence in Leadership,All Students,108,589,66,,108
108825,17,17K751,Academy for Health Careers,All Students,108,608,95,,108
32978,9,09X365,Academy for Language and Technology,All Students,92,660,60,,92
33212,11,11X270,Academy for Scholarship and Entrepreneurship: A Co,All Students,81,744,120,,120
32510,2,02M546,Academy for Software Engineering,All Students,120,2623,159,,159
109021,19,19K404,Academy for Young Writers,All Students,92,619,127, Guaranteed offer to continuing 8th grade students who apply,127
111988,30,30Q575,Academy of American Studies,All Students,170,2438,226,,226
110105,24,24Q264,Academy of Finance and Enterprise,All Students,124,2043,157,,157
108792,17,17K408,Academy of Hospitality and Tourism,All Students,108,575,164,,164
109045,19,19K618,Academy of Innovative Technology,All Students,108,991,140,,140
110829,27,27Q309,Academy of Medical Technology: A College Board Sch,All Students,105,479,154, Guaranteed offer to continuing 8th grade students who apply,154
32835,7,07X600,Alfred E. Smith Career and Technical Education Hig,All Students,152,1238,213,,213
113997,32,32K554,All City Leadership Secondary School,All Students,62,1190,64, Guaranteed offer to continuing 8th grade students who apply,64
32889,8,08X376,Antonia Pantoja Preparatory Academy: A College Boa,All Students,81,327,107, Guaranteed offer to continuing 8th grade students who apply,107
32886,8,08X367,Archimedes Academy for Math Science and Technolog,All Students,96,437,115, Guaranteed offer to continuing 8th grade students who apply,115
32519,2,02M630,Art and Design High School,All Students,385,3221,461,,461
108285,12,12X446,Arturo A. Schomburg Satellite Academy Bronx,All Students,50,121,15, Guaranteed offer to continuing 8th grade students who apply,50
108822,17,17K646,Aspirations Diploma Plus High School,All Students,40,15,5,,40
33217,11,11X299,Astor Collegiate Academy,All Students,118,1279,157,,157
110837,27,27Q400,August Martin High School,All Students,250,785,213,,250
110160,24,24Q610,Aviation Career & Technical Education High School,All Students,516,3327,702,,702
111989,30,30Q580,Baccalaureate School for Global Education,All Students,102,2891,215, Guaranteed offer to continuing 8th grade students who apply,215
32413,1,01M696,Bard High School Early College,All Students,125,4333,211,,211
110131,24,24Q299,Bard High School Early College Queens,All Students,155,3803,242,,242
32477,2,02M411,Baruch College Campus High School,All Students,120,6350,171,,171
110643,26,26Q495,Bayside High School,All Students,670,5897,1004, Guaranteed offer to students who live in the zoned area,1004
32616,3,03M479,Beacon High School,All Students,360,7974,440,,440
108392,13,13K595,Bedford Academy High School,All Students,81,2783,119,,119
33101,10,10X434,Belmont Preparatory High School,All Students,108,1509,158,,158
108399,13,13K670,Benjamin Banneker Academy,All Students,180,1922,246,,246
111606,29,29Q313,Benjamin Franklin High School for Finance & Inform,All Students,108,702,134,,134
110640,26,26Q415,Benjamin N. Cardozo High School,All Students,510,4485,997, Guaranteed offer to students who live in the zoned area,997
108709,16,16K455,Boys and Girls High School,All Students,222,560,68, Guaranteed offer to students who live in the zoned area,222
33080,10,10X264,Bronx Academy for Software Engineering (BASE),All Students,108,1196,154,,154
33216,11,11X290,Bronx Academy of Health Careers,All Students,108,777,190,,190
33236,11,11X545,Bronx Aerospace High School,All Students,189,324,35,,189
32897,8,08X537,Bronx Arena High School,All Students,10,26,3,,10
32892,8,08X432,Bronx Bridges High School,All Students,81,472,92,,92
108289,12,12X479,Bronx Career and College Preparatory High School,All Students,81,318,41,,81
32963,9,09X260,Bronx Center for Science and Mathematics,All Students,108,2885,162,,162
33092,10,10X351,Bronx Collaborative High School,All Students,150,769,103,,150
32956,9,09X227,Bronx Collegiate Academy,All Students,95,1302,132,,132
32899,8,08X561,Bronx Compass High School,All Students,120,921,155,,155
32830,7,07X522,Bronx Design and Construction Academy,All Students,140,559,121,,140
32971,9,09X324,Bronx Early College Academy for Teaching & Learnin,All Students,81,756,119, Guaranteed offer to continuing 8th grade students who apply,119
33072,10,10X213,Bronx Engineering and Technology Academy,All Students,136,585,105,,136
108292,12,12X511,Bronx Envision Academy,All Students,108,454,127,,127
33209,11,11X249,Bronx Health Sciences High School,All Students,108,1212,199,,199
33104,10,10X439,Bronx High School for Law and Community Service,All Students,108,1671,144,,144
32982,9,09X413,Bronx High School for Medical Science,All Students,81,1209,134, Guaranteed offer to continuing 8th grade students who apply,134
33210,11,11X253,Bronx High School for Writing and Communication Ar,All Students,108,330,44,,108
33221,11,11X418,Bronx High School for the Visual Arts,All Students,111,1161,129,,129
32981,9,09X412,Bronx High School of Business,All Students,138,656,75,,138
32979,9,09X403,Bronx International High School,All Students,108,586,38,,108
33211,11,11X265,Bronx Lab School,All Students,125,343,33,,125
108272,12,12X267,Bronx Latin,All Students,81,937,105, Guaranteed offer to continuing 8th grade students who apply,105
32986,9,09X525,Bronx Leadership Academy High School,All Students,136,592,104,,136
32831,7,07X527,Bronx Leadership Academy II High School,All Students,103,862,135,,135
32885,8,08X349,Bronx River High School,All Students,108,926,133,,133
32984,9,09X505,Bronx School for Law Government and Justice,All Students,104,1321,120, Guaranteed offer to continuing 8th grade students who apply,120
33084,10,10X284,Bronx School of Law and Finance,All Students,130,613,118,,130
32876,8,08X269,Bronx Studio School for Writers and Artists,All Students,81,614,102, Guaranteed offer to continuing 8th grade students who apply,102
33111,10,10X546,Bronx Theatre High School,All Students,128,498,105,,128
33228,11,11X508,Bronxdale High School,All Students,102,2285,133,,133
108390,13,13K553,Brooklyn Academy High School,All Students,22,408,4, Guaranteed offer to continuing 8th grade students who apply,22
108809,17,17K547,Brooklyn Academy of Science and the Environment,All Students,108,389,35,,108
108596,15,15K448,Brooklyn Collaborative Studies,All Students,90,753,121, Guaranteed offer to continuing 8th grade students who apply,121
109765,22,22K555,Brooklyn College Academy,All Students,160,2291,198,,198
109967,23,23K493,Brooklyn Collegiate: A College Board School,All Students,120,599,122,,122
108376,13,13K412,Brooklyn Community Arts & Media High School (BCAM),All Students,142,773,121,,142
108928,18,18K566,Brooklyn Community High School for Excellence and,All Students,75,403,42,,75
109995,23,23K643,Brooklyn Democracy Academy,All Students,30,5,3,,30
108589,15,15K423,Brooklyn Frontiers High School,All Students,65,42,9,,65
108710,16,16K498,Brooklyn High School for Law and Technology,All Students,151,1447,220,,220
108398,13,13K616,Brooklyn High School for Leadership and Community,All Students,60,154,8,,60
108607,15,15K656,Brooklyn High School of the Arts,All Students,254,1883,248,,254
108824,17,17K745,Brooklyn Institute for Liberal Arts,All Students,150,817,160,,160
108384,13,13K439,Brooklyn International High School,All Students,81,288,36,,81
109046,19,19K639,Brooklyn Lab School,All Students,102,675,114,,114
108485,14,14K488,Brooklyn Preparatory High School,All Students,153,1218,223,,223
108810,17,17K548,Brooklyn School for Music & Theatre,All Students,108,484,67,,108
109490,21,21K690,Brooklyn Studio Secondary School,All Students,106,722,124, Guaranteed offer to continuing 8th grade students who apply,124
108929,18,18K567,Brooklyn Theatre Arts High School,All Students,120,394,64,,120
114160,32,32K556,Bushwick Leaders High School for Academic Excellen,All Students,100,706,127,,127
