district,school,num_applications
Residential District 01,02M047,17
Residential District 01,14K610,7
Residential District 01,06M540,8
Residential District 01,21K410,3
Residential District 01,30Q301,11
Residential District 01,32K403,3
Residential District 01,17K751,3
Residential District 01,11X270,2
Residential District 01,02M546,108
Residential District 01,19K404,3
Residential District 01,30Q575,4
Residential District 01,24Q264,4
Residential District 01,07X600,3
Residential District 01,32K554,3
Residential District 01,02M630,49
Residential District 01,11X299,2
Residential District 01,24Q610,8
Residential District 01,30Q580,13
Residential District 01,01M696,166
Residential District 01,24Q299,25
Residential District 01,02M411,199
Residential District 01,03M479,141
Residential District 01,13K595,6
Residential District 01,13K670,9
Residential District 01,10X351,2
Residential District 01,09X227,2
Residential District 01,07X522,2
Residential District 01,11X249,2
Residential District 01,11X418,3
Residential District 01,09X525,2
Residential District 01,09X505,2
Residential District 01,08X269,2
Residential District 01,11X508,2
Residential District 01,17K547,2
Residential District 01,15K448,2
Residential District 01,22K555,3
Residential District 01,23K493,2
Residential District 01,15K423,3
Residential District 01,16K498,3
Residential District 01,15K656,8
Residential District 01,17K745,2
Residential District 01,13K439,2
Residential District 01,14K488,3
Residential District 01,02M393,20
Residential District 01,31R047,2
Residential District 01,07X548,3
Residential District 01,10X442,2
Residential District 01,04M555,55
Residential District 01,02M615,57
Residential District 01,06M293,3
Residential District 01,13K674,13
Residential District 01,15K519,2
Residential District 01,11X288,3
Residential District 01,05M362,35
Residential District 01,06M346,2
Residential District 01,18K629,2
Residential District 01,31R450,3
Residential District 01,19K659,2
Residential District 01,15K429,3
Residential District 01,10X549,2
Residential District 01,13K265,3
Residential District 01,23K644,3
Residential District 01,05M148,2
Residential District 01,01M450,218
Residential District 01,14K477,3
Residential District 01,21K525,3
Residential District 01,14K685,2
Residential District 01,02M416,127
Residential District 01,02M394,12
Residential District 01,04M372,3
Residential District 01,02M294,207
Residential District 01,02M303,6
Residential District 01,25Q460,3
Residential District 01,02M288,21
Residential District 01,10X437,3
Residential District 01,10X438,2
Residential District 01,28Q440,3
Residential District 01,01M458,2
Residential District 01,20K490,3
Residential District 01,26Q430,6
Residential District 01,03M417,8
Residential District 01,30Q501,29
Residential District 01,20K505,2
Residential District 01,05M499,3
Residential District 01,03M860,2
Residential District 01,29Q272,4
Residential District 01,13K605,3
Residential District 01,13K594,3
