Residential District,Total Applicants,# Matches to Choice 1-3,# Matches to Choice 1-5,# Matches to Choice 1-10,# Matches to Choice 1-12,# Matches to Any Choice (Incl. SHS & LGA),% Matches to Choice 1-3,% Matches to Choice 1-5,% Matches to Choice 1-10,% Matches to Choice 1-12,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 01,592,88,135,195,196,# Matches to Any Choice (Incl. SHS & LGA),15%,23%,33%,33%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 02,2342,324,485,722,735,# Matches to Any Choice (Incl. SHS & LGA),14%,21%,31%,31%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 03,1175,180,268,411,418,# Matches to Any Choice (Incl. SHS & LGA),15%,23%,35%,36%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 04,870,324,479,613,616,# Matches to Any Choice (Incl. SHS & LGA),37%,55%,70%,71%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 05,1023,626,812,947,947,# Matches to Any Choice (Incl. SHS & LGA),61%,79%,93%,93%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 06,1660,1226,1456,1572,1573,# Matches to Any Choice (Incl. SHS & LGA),74%,88%,95%,95%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 07,1348,954,1185,1294,1294,# Matches to Any Choice (Incl. SHS & LGA),71%,88%,96%,96%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 08,2282,1856,2134,2244,2244,# Matches to Any Choice (Incl. SHS & LGA),81%,94%,98%,98%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 09,2847,2565,2782,2832,2833,# Matches to Any Choice (Incl. SHS & LGA),90%,98%,99%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 10,3825,3664,3796,3813,3813,# Matches to Any Choice (Incl. SHS & LGA),96%,99%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 11,3277,3211,3242,3262,3262,# Matches to Any Choice (Incl. SHS & LGA),98%,99%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 12,1786,1753,1765,1775,1775,# Matches to Any Choice (Incl. SHS & LGA),98%,99%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 13,1021,543,758,901,901,# Matches to Any Choice (Incl. SHS & LGA),53%,74%,88%,88%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 14,973,756,895,935,935,# Matches to Any Choice (Incl. SHS & LGA),78%,92%,96%,96%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 15,2296,1781,2094,2221,2222,# Matches to Any Choice (Incl. SHS & LGA),78%,91%,97%,97%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 16,739,674,721,732,733,# Matches to Any Choice (Incl. SHS & LGA),91%,98%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 17,1658,1558,1640,1652,1652,# Matches to Any Choice (Incl. SHS & LGA),94%,99%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 18,1390,1349,1387,1390,1390,# Matches to Any Choice (Incl. SHS & LGA),97%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 19,2298,2264,2291,2296,2296,# Matches to Any Choice (Incl. SHS & LGA),99%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 20,3747,3661,3706,3707,3707,# Matches to Any Choice (Incl. SHS & LGA),98%,99%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 21,2361,2322,2331,2335,2335,# Matches to Any Choice (Incl. SHS & LGA),98%,99%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
